"suburb", "postcode"
"Melbourne",3000
"Carlton North",3054
"Carlton",3053
"Brunswick East",3057
"Brunswick",3056
"North Melbourne",3051
"Moonee Ponds",3039
"Ascot Vale",3032
"Brunswick West",3055
"Coburg",3058
"Maribyrnong",3032
"Essendon",3040
"Pascoe Vale",3044
"Pascoe Vale South",3044
"Coburg North",3058
"Oak Park",3046
"Glenroy",3046
"Hadfield",3046
"Strathmore",3041
"Kensington",3031
"Seddon",3011
"Yarraville",3013
"Footscray",3011
"Kingsville",3012
"West Footscray",3012
"Tottenham",3012
"Preston",3072
"Thornbury",3071
"Northcote",3070
"Fitzroy North",3068
"Fitzroy",3065
"Collingwood",3066
"Abbotsford",3067
"Richmond",3121
"South Yarra",3141
"Prahran",3181
"St Kilda",3182
"South Melbourne",3205
"Albert Park",3206
"Port Melbourne",3207
"Middle Park",3206
"Docklands",3008
"Southbank",3006
"St Kilda West",3182
"St Kilda East",3183
"Braybrook",3019
"Sunshine",3020
"Sunshine West",3020
"Newport",3015
"Williamstown",3016
"Spotswood",3015
"Werribee",3030
"Hoppers Crossing",3029
"Laverton",3028
"Altona North",3025
"Altona",3018
"Williams Landing",3027
"Laverton North",3026
"West Melbourne",3003
"East Melbourne",3002
"Wyndham Vale",3024
"Airport West",3042
"Tullamarine",3043
"Gowanbrae",3043
"Niddrie",3042
"Parkville",3052
"Brighton",3186
"Brighton East",3187
"Elsternwick",3185
"Carnegie",3163
"Caulfield North",3161
"Caulfield South",3162
"Caulfield East",3145
"Caulfield",3162
"Toorak",3142
"Hawthorn",3122
"Hawthorn East",3123
"Burwood",3125
"Reservoir",3073
"Fawkner",3060
"Kingsbury",3056
"Bundoora",3083
"Mill Park",3082
"Elwood",3184
"St Kilda East",3183
"Armadale",3143
"Malvern",3144
"Kooyong",3144
"Glen Iris",3146
"Camberwell",3124
"Canterbury",3126
"Surrey Hills",3127
"Burwood East",3151
"Vermont South",3133
"Box Hill South",3128
"Box Hill",3128
"Forest Hill",3131
"Kew",3101
"Kew East",3102
"Balwyn",3103
"Balwyn North",3104
"Mont Albert",3127
"Deepdene",3103
"Blackburn",3130
"Blackburn South",3130
"Albert Park",3206
"Melbourne", 3004